{ 0.00000000000000*10^+00,   0.00000000000000*10^+00,   1.00000000000000*10^+00}  
{-3.59580564185000*10^-01,   2.59904007634000*10^-01,   8.96187326778000*10^-01}  
{-8.76341721025000*10^-01,  -2.42346159045000*10^-01,   4.16285391513000*10^-01}  
{ 7.67844529979000*10^-01,   4.48085403190000*10^-01,   4.57858328776000*10^-01}  
{ 4.99649778329000*10^-01,  -7.96245580933000*10^-01,  -3.41091005248000*10^-01}  
{-8.85831813575000*10^-01,  -2.86557891706000*10^-01,  -3.64947356147000*10^-01}  
{ 1.15291676533000*10^-01,   7.80411825873000*10^-01,   6.14544718763000*10^-01}  
{ 1.60257666348000*10^-01,   8.36118370949000*10^-01,  -5.24617527479000*10^-01}  
{ 6.60969748707000*10^-01,  -3.29937188980000*10^-02,   7.49686871839000*10^-01}  
{ 9.28672889172000*10^-01,   3.12332190510000*10^-01,  -2.00038165581000*10^-01}  
{-5.47704232286000*10^-01,   4.12497518835000*10^-01,  -7.27918862848000*10^-01}  
{ 5.77418163658000*10^-01,  -4.69416470036000*10^-01,   6.68009312762000*10^-01}  
{ 8.30354141390000*10^-01,  -5.40838602959000*10^-01,  -1.34184967213000*10^-01}  
{ 3.96094341677000*10^-01,  -8.22224763212000*10^-01,  -4.08724493091000*10^-01}  
{ 4.29856477420000*10^-02,  -9.30873923760000*10^-01,   3.62802938456000*10^-01}  
{ 9.21380372599000*10^-01,  -1.45899900516000*10^-01,  -3.60238015787000*10^-01}  
{ 4.46394847427000*10^-01,   4.34357693728000*10^-01,   7.82345853245000*10^-01}  
{ 8.61824515650000*10^-02,  -9.93096647459000*10^-01,  -7.95715643210000*10^-02}  
{ 5.23039467220000*10^-01,  -6.72359428819000*10^-01,   5.23796252572000*10^-01}  
{ 9.03057901300000*10^-01,   8.89572052030000*10^-02,   4.20205952531000*10^-01}  
{ 1.56597721998000*10^-01,   8.42621424531000*10^-01,   5.15234207315000*10^-01}  
{-7.19403124265000*10^-01,  -6.86571794229000*10^-01,   1.05253580305000*10^-01}  
{-7.46491005479000*10^-01,   5.07384310592000*10^-01,   4.30479198225000*10^-01}  
{-9.93593457936000*10^-01,  -2.38448895750000*10^-02,  -1.10469278933000*10^-01}  
{-1.01077920215000*10^-01,   9.88313390915000*10^-01,   1.14104756178000*10^-01}  
{-8.86751495290000*10^-02,   6.06928019329000*10^-01,   7.89794338552000*10^-01}  
